Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Value,Dataset,Date,Frequency
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,7415789.0,ITEM,2015-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,4071322.0,ITEM,2015-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,5792200.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,616000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,20000000.0,ITEM,2015-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21196655.0,ITEM,2015-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,5506488.0,ITEM,2015-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2777805.0,ITEM,2015-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2906555.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,302000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2015-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,25680530.0,ITEM,2015-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,35665402.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,353000000.0,ITEM,2015-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2015-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,7529626.0,ITEM,2016-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,4170821.0,ITEM,2016-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,5684800.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,618000000.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,20000000.0,ITEM,2016-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21709965.0,ITEM,2016-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,5680483.0,ITEM,2016-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2869420.0,ITEM,2016-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3056806.0,ITEM,2016-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,26005344.0,ITEM,2016-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,36504338.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,351000000.0,ITEM,2016-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2016-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,8047764.0,ITEM,2017-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,4534111.0,ITEM,2017-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,6428254.0,ITEM,2017-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,618000000.0,ITEM,2017-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,6371628.0,ITEM,2017-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,3120030.0,ITEM,2017-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3520306.0,ITEM,2017-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,27468077.0,ITEM,2017-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2017-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,343000000.0,ITEM,2017-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2017-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,4654397.0,ITEM,2018-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,6660315.0,ITEM,2018-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,3176022.0,ITEM,2018-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3888129.0,ITEM,2018-12-31,Yearly
